Time                o21
                       0                               0
            0.0021370337                               0
            0.0042740675                               0
            0.0064111017                               0
            0.0085481349                               0
             0.010685169                               0
             0.012822203                               0
             0.014959237                               0
              0.01709627                               0
             0.019233305                               0
             0.021370338                               0
             0.023507372                               0
             0.025644407                               0
              0.02778144                               0
             0.029918473                               0
             0.032055508                               0
              0.03419254                               0
             0.036329575                               0
              0.03846661                               0
             0.040603641                               0
             0.042740677                               0
             0.044877712                               0
             0.047014743                               0
             0.049151778                               0
             0.051288813                               0
             0.053425845                               0
              0.05556288                               0
             0.057699915                               0
             0.059836946                               0
             0.061973982                               0
             0.064111017                               0
             0.066248052                               0
              0.06838508                               0
             0.070522115                               0
              0.07265915                               0
             0.074796185                               0
              0.07693322                               0
             0.079070248                               0
             0.081207283                               0
             0.083344318                               0
             0.085481353                               0
             0.087618388                               0
             0.089755423                               0
             0.091892451                               0
             0.094029486                               0
             0.096166521                               0
             0.098303556                               0
              0.10044059                               0
              0.10257763                               0
              0.10471465                               0
              0.10685169                               0
              0.10898872                               0
              0.11112576                               0
              0.11326279                               0
              0.11539983                               0
              0.11753686                               0
              0.11967389                               0
              0.12181093                               0
              0.12394796                               0
                0.126085                               0
              0.12822203                               0
              0.13035907                               0
               0.1324961                               0
              0.13463312                               0
              0.13677016                               0
              0.13890719                               0
              0.14104423                               0
              0.14318126                               0
               0.1453183                               0
              0.14745533                               0
              0.14959237                               0
               0.1517294                               0
              0.15386644                               0
              0.15600348                               0
               0.1581405                               0
              0.16027753                               0
              0.16241457                               0
               0.1645516                               0
              0.16668864                               0
              0.16882567                               0
              0.17096271                               0
              0.17309974                               0
              0.17523678                               0
              0.17737381                               0
              0.17951085                               0
              0.18164788                               0
               0.1837849                               0
              0.18592194                               0
              0.18805897                               0
              0.19019601                               0
              0.19233304                               0
              0.19447008                               0
              0.19660711                               0
              0.19874415                               0
              0.20088118                               0
              0.20301822                               0
              0.20515525                               0
              0.20729227                               0
              0.20942931                               0
              0.21156634                               0
              0.21370338                               0
              0.21584041                               0
              0.21797745                               0
              0.22011448                               0
              0.22225152                               0
              0.22438855                               0
              0.22652559                               0
              0.22866262                               0
              0.23079966                               0
              0.23293668                               0
              0.23507372                               0
              0.23721075                               0
              0.23934779                               0
              0.24148482                               0
              0.24362186                               0
              0.24575889                               0
              0.24789593                               0
              0.25003296                               0
                 0.25217                               0
              0.25430703                               0
              0.25644407                               0
               0.2585811                               0
              0.26071814                               0
              0.26285517                               0
              0.26499221                               0
              0.26712924                               0
              0.26926625                               0
              0.27140328                               0
              0.27354032                               0
              0.27567735                               0
              0.27781439                               0
              0.27995142                               0
              0.28208846                               0
              0.28422549                               0
              0.28636253                               0
              0.28849956                               0
               0.2906366                               0
              0.29277363                               0
              0.29491067                               0
               0.2970477                               0
              0.29918474                               0
              0.30132177                               0
              0.30345881                               0
              0.30559584                               0
              0.30773288                               0
              0.30986992                               0
              0.31200695                               0
              0.31414399                               0
              0.31628099                               0
              0.31841803                               0
              0.32055506                               0
               0.3226921                               0
              0.32482913                               0
              0.32696617                               0
               0.3291032                               0
              0.33124024                               0
              0.33337727                               0
              0.33551431                               0
              0.33765134                               0
              0.33978838                               0
              0.34192541                               0
              0.34406245                               0
              0.34619948                               0
              0.34833652                               0
              0.35047355                               0
              0.35261059                               0
              0.35474762                               0
              0.35688466                               0
              0.35902169                               0
              0.36115873                               0
              0.36329576                               0
              0.36543277                               0
               0.3675698                               0
              0.36970684                               0
              0.37184387                               0
              0.37398091                               0
              0.37611794                               0
              0.37825498                               0
              0.38039201                               0
              0.38252905                               0
              0.38466609                               0
              0.38680312                               0
              0.38894016                               0
              0.39107719                               0
              0.39321423                               0
              0.39535126                               0
               0.3974883                               0
              0.39962533                               0
              0.40176237                               0
               0.4038994                               0
              0.40603644                               0
              0.40817347                               0
              0.41031051                               0
              0.41244754                               0
              0.41458455                               0
              0.41672158                               0
              0.41885862                               0
              0.42099565                               0
              0.42313269                               0
              0.42526972                               0
              0.42740676                               0
