        Time                i2
----------------------------------------------------------------------
                       0                  -1.0794679e-08
            0.0015929476                   3.2749767e-09
            0.0031858953                   1.3424502e-06
            0.0047788429                   1.3484987e-06
            0.0063717905                   1.3503526e-06
            0.0079647377                   1.3479031e-06
            0.0095576858                   1.3410529e-06
             0.011150633                   1.3297165e-06
             0.012743581                   1.3138206e-06
             0.014336528                   1.2933053e-06
             0.015929475                    1.268124e-06
             0.017522423                   1.2382441e-06
             0.019115372                   1.2036472e-06
             0.020708319                   1.1643302e-06
             0.022301266                   1.1203049e-06
             0.023894213                   1.0715985e-06
             0.025487162                   1.0182546e-06
             0.027080109                   9.6033204e-07
             0.028673057                   8.9790677e-07
             0.030266004                   8.3107057e-07
             0.031858951                   7.5993199e-07
               0.0334519                   6.8461605e-07
             0.035044845                    6.052644e-07
             0.036637794                   5.2203524e-07
             0.038230743                   4.3510292e-07
             0.039823689                    3.446583e-07
             0.041416638                   2.5090802e-07
             0.043009583                   1.5407453e-07
             0.044602532                   5.4395613e-08
             0.046195481                     -4.7876e-08
             0.047788426                  -1.5247306e-07
             0.049381375                  -2.5911433e-07
             0.050974324                  -3.6750521e-07
              0.05256727                  -4.7733829e-07
             0.054160219                  -5.8829403e-07
             0.055753164                  -7.0004165e-07
             0.057346113                   -8.122397e-07
             0.058939062                  -9.2453729e-07
             0.060532007                  -1.0365744e-06
             0.062124956                  -1.1479837e-06
             0.063717902                  -1.2583903e-06
             0.065310851                  -1.3674143e-06
               0.0669038                  -1.4746706e-06
             0.068496749                   -1.579771e-06
              0.07008969                  -1.6823246e-06
             0.071682639                  -1.7819395e-06
             0.073275588                   -1.878224e-06
             0.074868537                  -1.9707875e-06
             0.076461487                  -2.0592422e-06
             0.078054428                  -2.1432047e-06
             0.079647377                  -2.2222962e-06
             0.081240326                  -2.2961449e-06
             0.082833275                  -2.3643875e-06
             0.084426224                  -2.4266694e-06
             0.086019166                  -2.4826475e-06
             0.087612115                    -2.53199e-06
             0.089205064                  -2.5743798e-06
             0.090798013                  -2.6095136e-06
             0.092390962                  -2.6371049e-06
             0.093983911                  -2.6568848e-06
             0.095576853                   -2.668603e-06
             0.097169802                  -2.6720293e-06
             0.098762751                  -2.6669547e-06
               0.1003557                  -2.6531934e-06
              0.10194865                  -2.6305822e-06
              0.10354159                  -2.5989837e-06
              0.10513454                  -2.5582851e-06
              0.10672749                  -2.5084014e-06
              0.10832044                  -2.4492747e-06
              0.10991339                  -2.3808757e-06
              0.11150633                  -2.3032044e-06
              0.11309928                  -2.2162906e-06
              0.11469223                  -2.1201949e-06
              0.11628518                  -2.0150089e-06
              0.11787812                  -1.9008559e-06
              0.11947107                  -1.7778905e-06
              0.12106401                  -1.6463001e-06
              0.12265696                  -1.5063041e-06
              0.12424991                  -1.3581541e-06
              0.12584285                  -1.2021343e-06
               0.1274358                  -1.0385608e-06
              0.12902875                  -8.6778158e-07
               0.1306217                  -6.9017619e-07
              0.13221465                  -5.0615506e-07
               0.1338076                  -3.1615915e-07
              0.13540055                  -1.2065891e-07
               0.1369935                   7.9846188e-08
              0.13858645                   2.8482884e-07
              0.14017938                   4.9373489e-07
              0.14177233                   7.0598441e-07
              0.14336528                   9.2097315e-07
              0.14495823                   1.1380737e-06
              0.14655118                   1.3566373e-06
              0.14814413                   1.5759949e-06
              0.14973707                   1.7954596e-06
              0.15133002                   2.0143277e-06
              0.15292297                   2.2318814e-06
              0.15451592                   2.4473895e-06
              0.15610886                   2.6601112e-06
              0.15770181                   2.8692966e-06
              0.15929475                   3.0741903e-06
               0.1608877                   3.2740327e-06
              0.16248065                   3.4680627e-06
               0.1640736                   3.6555205e-06
              0.16566655                   3.8356493e-06
               0.1672595                   4.0076989e-06
              0.16885245                   4.1709268e-06
               0.1704454                   4.3246027e-06
              0.17203833                   4.4680091e-06
              0.17363128                   4.6004457e-06
              0.17522423                   4.7212302e-06
              0.17681718                   4.8297038e-06
              0.17841013                   4.9252303e-06
              0.18000308                   5.0072013e-06
              0.18159603                   5.0750377e-06
              0.18318897                   5.1281927e-06
              0.18478192                   5.1661541e-06
              0.18637487                   5.1884467e-06
              0.18796782                   5.1946354e-06
              0.18956076                   5.1843258e-06
              0.19115371                   5.1571683e-06
              0.19274665                   5.1128595e-06
               0.1943396                   5.0511439e-06
              0.19593255                   4.9718169e-06
               0.1975255                   4.8747252e-06
              0.19911845                   4.7597691e-06
               0.2007114                   4.6269047e-06
              0.20230435                   4.4761455e-06
               0.2038973                   4.3075606e-06
              0.20549023                   4.1212811e-06
              0.20708318                   3.9174956e-06
              0.20867613                   3.6964555e-06
              0.21026908                   3.4584721e-06
              0.21186203                   3.2039188e-06
              0.21345498                   2.9332316e-06
              0.21504793                   2.6469079e-06
              0.21664087                   2.3455073e-06
              0.21823382                   2.0296502e-06
              0.21982677                   1.7000184e-06
              0.22141971                   1.3573538e-06
              0.22301266                   1.0024569e-06
              0.22460561                   6.3618603e-07
              0.22619855                   2.5945607e-07
               0.2277915                  -1.2676361e-07
              0.22938445                  -5.2145089e-07
               0.2309774                  -9.2353298e-07
              0.23257035                  -1.3318886e-06
               0.2341633                  -1.7453508e-06
              0.23575625                  -2.1627095e-06
               0.2373492                  -2.5827142e-06
              0.23894213                  -3.0040776e-06
              0.24053508                  -3.4254783e-06
              0.24212803                  -3.8455651e-06
              0.24372098                  -4.2629599e-06
              0.24531393                  -4.6762616e-06
              0.24690688                  -5.0840513e-06
              0.24849983                  -5.4848942e-06
              0.25009277                  -5.8773462e-06
              0.25168571                  -6.2599574e-06
              0.25327867                  -6.6312755e-06
              0.25487161                  -6.9898524e-06
              0.25646457                  -7.3342485e-06
               0.2580575                  -7.6630367e-06
              0.25965047                   -7.974807e-06
               0.2612434                  -8.2681727e-06
              0.26283634                  -8.5417751e-06
               0.2644293                   -8.794289e-06
              0.26602224                  -9.0244257e-06
               0.2676152                  -9.2309392e-06
              0.26920813                  -9.4126335e-06
               0.2708011                  -9.5683617e-06
              0.27239403                   -9.697038e-06
                0.273987                  -9.7976381e-06
              0.27557993                  -9.8692026e-06
              0.27717289                  -9.9108474e-06
              0.27876583                  -9.9217614e-06
              0.28035876                  -9.9012168e-06
              0.28195173                  -9.8485689e-06
              0.28354466                  -9.7632628e-06
              0.28513762                  -9.6448339e-06
              0.28673056                  -9.4929164e-06
              0.28832352                  -9.3072422e-06
              0.28991646                  -9.0876465e-06
              0.29150942                  -8.8340694e-06
              0.29310235                  -8.5465599e-06
              0.29469529                  -8.2252745e-06
              0.29628825                  -7.8704852e-06
              0.29788119                  -7.4825757e-06
              0.29947415                  -7.0620454e-06
              0.30106708                  -6.6095095e-06
              0.30266005                  -6.1257001e-06
              0.30425298                  -5.6114659e-06
              0.30584595                  -5.0677722e-06
              0.30743888                  -4.4957019e-06
              0.30903184                  -3.8964508e-06
              0.31062478                  -3.2713315e-06
              0.31221771                  -2.6217672e-06
              0.31381068                  -1.9492916e-06
              0.31540361                  -1.2555472e-06
              0.31699657                  -5.4228036e-07
              0.31858951                   1.8866027e-07
              0.32018247                   9.3532833e-07
              0.32177541                   1.6956836e-06
              0.32336837                   2.4675965e-06
               0.3249613                   3.2488529e-06
              0.32655427                   4.0371592e-06
               0.3281472                    4.830149e-06
              0.32974014                   5.6253875e-06
               0.3313331                   6.4203787e-06
              0.33292603                   7.2125727e-06
                0.334519                   7.9993706e-06
              0.33611193                   8.7781355e-06
               0.3377049                   9.5461965e-06
              0.33929783                   1.0300856e-05
              0.34089079                   1.1039404e-05
              0.34248373                    1.175912e-05
              0.34407666                   1.2457282e-05
              0.34566963                    1.313118e-05
              0.34726256                   1.3778121e-05
              0.34885553                   1.4395438e-05
              0.35044846                   1.4980503e-05
              0.35204142                    1.553073e-05
              0.35363436                   1.6043592e-05
              0.35522732                    1.651662e-05
              0.35682026                   1.6947426e-05
              0.35841322                   1.7333699e-05
              0.36000615                   1.7673225e-05
              0.36159909                   1.7963885e-05
              0.36319205                   1.8203677e-05
              0.36478499                   1.8390712e-05
              0.36637795                   1.8523235e-05
              0.36797088                   1.8599623e-05
              0.36956385                   1.8618401e-05
              0.37115678                   1.8578239e-05
              0.37274975                   1.8477976e-05
              0.37434268                   1.8316616e-05
              0.37593564                   1.8093333e-05
              0.37752858                   1.7807484e-05
              0.37912151                   1.7458615e-05
              0.38071448                   1.7046461e-05
              0.38230741                   1.6570955e-05
              0.38390037                   1.6032232e-05
              0.38549331                   1.5430634e-05
              0.38708627                   1.4766711e-05
              0.38867921                   1.4041221e-05
              0.39027217                   1.3255144e-05
               0.3918651                   1.2409669e-05
              0.39345804                   1.1506202e-05
                0.395051                    1.054637e-05
              0.39664394                   9.5320102e-06
               0.3982369                   8.4651792e-06
              0.39982983                   7.3481433e-06
               0.4014228                   6.1833816e-06
              0.40301573                   4.9735772e-06
               0.4046087                   3.7216184e-06
              0.40620163                   2.4305893e-06
              0.40779459                   1.1037666e-06
              0.40938753                  -2.5538694e-07
              0.41098046                  -1.6432305e-06
              0.41257343                  -3.0559522e-06
              0.41416636                  -4.4895783e-06
              0.41575933                  -5.9399822e-06
              0.41735226                   -7.402894e-06
              0.41894522                  -8.8739116e-06
              0.42053816                  -1.0348514e-05
              0.42213112                  -1.1822067e-05
              0.42372406                  -1.3289844e-05
              0.42531702                  -1.4747032e-05
              0.42690995                  -1.6188751e-05
              0.42850289                  -1.7610064e-05
              0.43009585                  -1.9005993e-05
              0.43168879                  -2.0371534e-05
              0.43328175                  -2.1701675e-05
              0.43487468                  -2.2991406e-05
              0.43646765                  -2.4235744e-05
              0.43806058                  -2.5429739e-05
              0.43965355                  -2.6568499e-05
              0.44124648                  -2.7647206e-05
              0.44283941                  -2.8661125e-05
              0.44443238                  -2.9605631e-05
              0.44602531                  -3.0476227e-05
              0.44761828                  -3.1268548e-05
              0.44921121                  -3.1978387e-05
              0.45080417                  -3.2601718e-05
              0.45239711                    -3.31347e-05
              0.45399007                  -3.3573702e-05
              0.45558301                  -3.3915316e-05
              0.45717597                  -3.4156372e-05
               0.4587689                  -3.4293953e-05
              0.46036184                  -3.4325414e-05
               0.4619548                  -3.4248395e-05
              0.46354774                  -3.4060824e-05
               0.4651407                  -3.3760953e-05
              0.46673363                   -3.334734e-05
               0.4683266                  -3.2818887e-05
              0.46991953                  -3.2174841e-05
               0.4715125                  -3.1414798e-05
              0.47310543                  -3.0538715e-05
              0.47469839                  -2.9546925e-05
              0.47629133                  -2.8440134e-05
              0.47788426                  -2.7219434e-05
