Time / ns                o2,2/real
----------------------------------------------------------------------
                       0                               0
            0.0018706698                               0
            0.0037413395                   1.6499871e-18
            0.0056120092                   2.1396479e-17
            0.0074826791                   5.0647478e-17
             0.009353349                   4.6033372e-17
             0.011224018                  -6.4849623e-17
             0.013094689                  -3.1947137e-16
             0.014965358                  -6.0786949e-16
             0.016836029                  -1.2542325e-15
             0.018706698                   -2.431568e-15
             0.020577367                  -4.4348926e-15
             0.022448037                  -7.3600582e-15
             0.024318708                  -1.1576276e-14
             0.026189378                  -1.7588075e-14
             0.028060047                  -2.5868229e-14
             0.029930716                  -3.7323562e-14
             0.031801388                  -5.2594522e-14
             0.033672057                  -7.2517648e-14
             0.035542727                  -9.7163441e-14
             0.037413396                  -1.2736398e-13
             0.039284065                  -1.6396259e-13
             0.041154735                  -2.0832634e-13
             0.043025404                  -2.6053104e-13
             0.044896074                  -3.2073294e-13
             0.046766747                  -3.8906359e-13
             0.048637416                  -4.6615706e-13
             0.050508086                  -5.5287844e-13
             0.052378755                  -6.4967915e-13
             0.054249424                  -7.5664502e-13
             0.056120094                    -8.73657e-13
             0.057990763                  -1.0001865e-12
             0.059861433                  -1.1354672e-12
             0.061732102                  -1.2781709e-12
             0.063602775                  -1.4264225e-12
             0.065473445                  -1.5776033e-12
             0.067344114                  -1.7284158e-12
             0.069214784                  -1.8746959e-12
             0.071085453                  -2.0113774e-12
             0.072956122                  -2.1330956e-12
             0.074826792                  -2.2336848e-12
             0.076697461                  -2.3061806e-12
             0.078568131                  -2.3434429e-12
               0.0804388                  -2.3376973e-12
              0.08230947                  -2.2818256e-12
             0.084180139                  -2.1682682e-12
             0.086050808                  -1.9895658e-12
             0.087921478                   -1.738791e-12
             0.089792147                  -1.4098575e-12
             0.091662817                  -9.9739368e-13
             0.093533494                  -4.9743846e-13
             0.095404163                   9.2311995e-14
             0.097274832                   7.7429334e-13
             0.099145502                   1.5503328e-12
              0.10101617                   2.4218717e-12
              0.10288684                   3.3876656e-12
              0.10475751                   4.4457498e-12
              0.10662818                   5.5964734e-12
              0.10849885                   6.8406457e-12
              0.11036952                    8.179981e-12
              0.11224019                   9.6177484e-12
              0.11411086                   1.1161702e-11
              0.11598153                   1.2826086e-11
               0.1178522                   1.4630991e-11
              0.11972287                   1.6603918e-11
              0.12159353                   1.8781207e-11
               0.1234642                   2.1207626e-11
              0.12533487                   2.3939385e-11
              0.12720555                   2.7049902e-11
              0.12907621                   3.0627473e-11
              0.13094689                   3.4776675e-11
              0.13281755                   3.9619086e-11
              0.13468823                   4.5295937e-11
              0.13655889                   5.1967774e-11
              0.13842957                    5.981543e-11
              0.14030023                   6.9039288e-11
              0.14217091                   7.9859383e-11
              0.14404157                   9.2514003e-11
              0.14591224                   1.0725817e-10
              0.14778291                   1.2436135e-10
              0.14965358                   1.4410445e-10
              0.15152426                   1.6677566e-10
              0.15339492                   1.9266566e-10
               0.1552656                   2.2206161e-10
              0.15713626                   2.5524016e-10
              0.15900694                   2.9245964e-10
               0.1608776                   3.3395076e-10
              0.16274828                   3.7990719e-10
              0.16461894                   4.3047457e-10
              0.16648962                   4.8573873e-10
              0.16836028                   5.4571303e-10
              0.17023095                   6.1032546e-10
              0.17210162                   6.7940353e-10
              0.17397229                   7.5266249e-10
              0.17584296                   8.2969231e-10
              0.17771363                   9.0994307e-10
              0.17958429                   9.9271336e-10
              0.18145497                   1.0771383e-09
              0.18332563                   1.1621808e-09
              0.18519631                   1.2466248e-09
              0.18706699                   1.3290671e-09
              0.18893765                   1.4079125e-09
              0.19080833                   1.4813734e-09
              0.19267899                   1.5474768e-09
              0.19454966                   1.6040738e-09
              0.19642033                   1.6488451e-09
                0.198291                   1.6793228e-09
              0.20016167                   1.6929066e-09
              0.20203234                   1.6868973e-09
                0.203903                   1.6585193e-09
              0.20577368                   1.6049609e-09
              0.20764434                    1.523413e-09
              0.20951502                   1.4111141e-09
              0.21138568                   1.2654093e-09
              0.21325636                   1.0838004e-09
              0.21512702                   8.6400531e-10
               0.2169977                   6.0401806e-10
              0.21886836                   3.0217723e-10
              0.22073904                  -4.2767193e-11
               0.2226097                  -4.3158804e-10
              0.22448038                  -8.6451141e-10
              0.22635105                   -1.341153e-09
              0.22822171                  -1.8604531e-09
              0.23009239                  -2.4206179e-09
              0.23196305                   -3.019065e-09
